rooms,area_m2,price,floor,total_floor,is_new_building,place
2,67,1000,9,27,1,8 Noyabr m.
2,75,1900,10,16,1,28 May m.
2,85,650,4,17,1,İnşaatçılar m.
3,100,1000,4,5,0,Sahil m.
4,105,580,9,17,1,Xırdalan
2,60,730,14,16,1,Dərnəgül m.
3,80,450,5,9,0,Memar Əcəmi m.
2,96,800,10,16,1,Nəriman Nərimanov m.
2,94,3500,2,10,1,Sahil m.
2,56,1000,7,17,1,Gənclik m.
3,90,600,17,18,1,Nəsimi m.
2,62,600,2,5,0,Nəsimi m.
3,100,1650,6,12,1,Nizami m.
3,70,700,2,4,0,Şah İsmayıl Xətai m.
2,80,1100,7,17,1,28 May m.
3,80,550,2,5,0,İnşaatçılar m.
3,106,1200,18,27,1,8 Noyabr m.
2,70,1000,9,21,1,Şah İsmayıl Xətai m.
2,100,900,14,17,1,Qara Qarayev m.
1,42,600,8,18,1,28 May m.
3,115,1500,7,18,1,Nəsimi r.
3,120,649,5,5,0,Azadlıq Prospekti m.
2,60,548,4,5,0,Neftçilər m.
1,45,549,17,17,1,20 Yanvar m.
2,65,1300,3,4,0,Sahil m.
2,70,1000,9,20,1,Şah İsmayıl Xətai m.
3,120,2200,12,17,1,İnşaatçılar m.
3,80,750,11,12,1,Qara Qarayev m.
2,121,1600,9,9,0,Nizami m.
2,55,720,11,17,1,İnşaatçılar m.
2,65,700,4,14,1,Yasamal q.
2,60,730,14,16,1,Dərnəgül m.
4,180,1500,5,16,1,Nərimanov r.
2,70,800,13,20,1,Elmlər Akademiyası m.
2,67,1200,4,20,1,Şah İsmayıl Xətai m.
4,78,770,1,9,0,İnşaatçılar m.
3,101,1800,3,7,0,Ağ şəhər q.
2,65,950,14,16,1,Nəriman Nərimanov m.
3,125,1200,9,17,1,Gənclik m.
1,60,550,6,17,1,Qara Qarayev m.
3,120,750,7,11,1,Yeni Yasamal q.
3,90,799,6,16,1,Dərnəgül m.
4,140,1400,12,17,1,28 May m.
3,130,1500,3,17,1,Nizami m.
2,75,430,1,14,1,Sumqayıt
2,70,1000,9,21,1,Şah İsmayıl Xətai m.
2,85,650,5,16,1,Nizami r.
3,93,600,17,19,1,Nəsimi m.
2,63,550,4,9,0,İnşaatçılar m.
3,76,370,9,12,1,Hövsan q.
2,65,2000,4,7,0,Ağ şəhər q.
3,100,1000,4,21,1,Şah İsmayıl Xətai m.
3,178,3200,25,27,1,8 Noyabr m.
3,76,470,4,12,1,Hövsan q.
4,180,1400,1,4,0,Badamdar q.
2,85,900,14,16,1,Nəsimi r.
2,65,600,6,14,1,Xalqlar Dostluğu m.
2,65,1900,2,7,0,Ağ şəhər q.
2,90,930,9,16,1,Qara Qarayev m.
2,55,320,6,7,0,Hövsan q.
2,65,1000,5,8,0,Nəsimi r.
2,60,800,4,5,0,Şah İsmayıl Xətai m.
3,70,700,4,5,0,Qara Qarayev m.
2,105,799,16,17,1,Qara Qarayev m.
3,79,500,5,9,0,Xalqlar Dostluğu m.
3,80,900,2,9,0,Nəriman Nərimanov m.
2,60,730,14,16,1,Dərnəgül m.
2,50,650,4,4,0,Gənclik m.
3,150,2300,5,16,1,Səbail r.
3,150,1600,7,17,1,Şah İsmayıl Xətai m.
2,80,1400,14,22,1,Şah İsmayıl Xətai m.
2,60,650,2,2,0,Kubinka q.
3,110,2500,3,6,0,Ağ şəhər q.
2,75,600,8,10,1,Xalqlar Dostluğu m.
3,103,650,7,16,1,Həzi Aslanov m.
2,85,1100,7,17,1,28 May m.
2,60,750,8,17,1,Elmlər Akademiyası m.
2,60,550,2,5,0,Elmlər Akademiyası m.
3,100,1000,6,19,1,Elmlər Akademiyası m.
3,70,499,5,9,0,Əhmədli m.
2,80,800,12,19,1,İnşaatçılar m.
3,70,800,4,9,0,Elmlər Akademiyası m.
2,45,650,3,4,0,Nəsimi r.
3,110,1500,8,18,1,Nərimanov r.
3,122,800,17,17,1,Elmlər Akademiyası m.
3,70,900,5,9,0,Elmlər Akademiyası m.
2,60,1200,2,4,0,Nardaran q.
4,230,1500,4,22,1,28 May m.
2,50,350,2,6,0,Masazır q.
3,150,1400,8,18,1,28 May m.
2,75,900,5,16,1,Elmlər Akademiyası m.
2,56,810,6,16,1,Nizami m.
2,70,1300,12,20,1,Elmlər Akademiyası m.
