location,rooms,area_m2,price,url
"Elan №5767939 - Bakı, Qara Qarayev m., 2 otaqlı, 65 m², 11/16 mərtəbə",2,65,600,https://bina.az/items/5767939
"Elan №5682213 - Bakı, Ağ şəhər q., 3 otaqlı, 135 m², 4/8 mərtəbə",3,135,2500,https://bina.az/items/5682213
"Elan №5767937 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 90 m², 11/16 mərtəbə",2,90,750,https://bina.az/items/5767937
"Elan №5740917 - Bakı, Ağ şəhər q., 3 otaqlı, 125 m², 9/20 mərtəbə",3,125,3000,https://bina.az/items/5740917
"Elan №5767934 - Bakı, Yeni Yasamal q., 2 otaqlı, 50 m², 4/11 mərtəbə",2,50,600,https://bina.az/items/5767934
"Elan №5693429 - Bakı, Nizami m., 4 otaqlı, 200 m², 9/18 mərtəbə",4,200,2000,https://bina.az/items/5693429
"Elan №5767932 - Sumqayıt, Sumqayıt, 2 otaqlı, 84 m², 9/12 mərtəbə",2,84,550,https://bina.az/items/5767932
"Elan №5767931 - Bakı, İçəri Şəhər m., 4 otaqlı, 205 m², 8/12 mərtəbə",4,205,3000,https://bina.az/items/5767931
"Elan №5661396 - Bakı, Sahil m., 4 otaqlı, 180 m², 7/10 mərtəbə",4,180,2500,https://bina.az/items/5661396
"Elan №5762773 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 75 m², 5/18 mərtəbə",2,75,699,https://bina.az/items/5762773
"Elan №5765268 - Bakı, Nizami m., 2 otaqlı, 50 m², 2/3 mərtəbə",2,50,699,https://bina.az/items/5765268
"Elan №5601930 - Bakı, 28 May m., 2 otaqlı, 65 m², 12/18 mərtəbə",2,65,700,https://bina.az/items/5601930
"Elan №5767924 - Bakı, Şah İsmayıl Xətai m., 3 otaqlı, 105 m², 8/16 mərtəbə",3,105,1200,https://bina.az/items/5767924
"Elan №4850897 - Bakı, Elmlər Akademiyası m., 3 otaqlı, 110 m², 15/20 mərtəbə",3,110,1700,https://bina.az/items/4850897
"Elan №5767921 - Bakı, Səbail r., 3 otaqlı, 150 m², 10/22 mərtəbə",3,150,3600,https://bina.az/items/5767921
"Elan №5483935 - Bakı, Həzi Aslanov m., 3 otaqlı, 120 m², 5/17 mərtəbə",3,120,850,https://bina.az/items/5483935
"Elan №5587789 - Bakı, Gənclik m., 3 otaqlı, 150 m², 9/16 mərtəbə",3,150,1650,https://bina.az/items/5587789
"Elan №5752270 - Bakı, Ağ şəhər q., 3 otaqlı, 135 m², 2/8 mərtəbə",3,135,2500,https://bina.az/items/5752270
"Elan №5568025 - Bakı, 8 Noyabr m., 3 otaqlı, 149 m², 21/27 mərtəbə",3,149,1600,https://bina.az/items/5568025
"Elan №5753166 - Bakı, 28 May m., 3 otaqlı, 130 m², 9/20 mərtəbə",3,130,2199,https://bina.az/items/5753166
"Elan №5767918 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 4/11 mərtəbə",2,50,600,https://bina.az/items/5767918
"Elan №5634965 - Bakı, 28 May m., 3 otaqlı, 70 m², 16/16 mərtəbə",3,70,1400,https://bina.az/items/5634965
"Elan №5545341 - Bakı, Ağ şəhər q., 2 otaqlı, 50 m², 5/6 mərtəbə",2,50,1300,https://bina.az/items/5545341
"Elan №5751959 - Bakı, Həzi Aslanov m., 2 otaqlı, 70 m², 10/15 mərtəbə",2,70,600,https://bina.az/items/5751959
